genres,keywords,revenue,title,vote_average,vote_count,cast,director
Adventure Drama Action History War,martial arts sword revolution blood gunfight,108348,1911,5,41,Jackie Chan Li Bingbing Joan Chen Jaycee Chan Sun Chun,Jackie Chan
Comedy,,0,Little Nicholas,5.9,306,Maxime Godart Val\u00e9rie Lemercier Kad Merad Sandrine Kiberlain Fran\u00e7ois-Xavier Demaison,Laurent Tirard
Thriller Crime Drama,gambling bodyguard remake,0,Wild Card,5.4,656,Jason Statham Michael Angarano Milo Ventimiglia Dominik Garc\u00eda-Lorido Anne Heche,Simon West
Action Thriller Crime,underage soldier duringcreditsstinger,2527904,Machine Gun Preacher,6.4,286,Gerard Butler Michelle Monaghan Kathy Baker Richard Goteri Peter Carey,Marc Forster
Animation Family Comedy,dam shark animal hoover dam crane the bird,0,Animals United,5.5,90,Christoph Maria Herbst Ralf Schmitz Thomas Fritsch Bastian Pastewka Oliver Kalkofe,Reinhard Klooss
History Drama,jail guard prison cell south africa apartheid nelson mandela,0,Goodbye Bafana,7,38,Joseph Fiennes Dennis Haysbert Diane Kruger Shiloh Henderson Patrick Lyster,Bille August
Drama,soccer,0,United Passions,3,16,Tim Roth Sam Neill Thomas Kretschmann G\u00e9rard Depardieu Jemima West,Fr\u00e9d\u00e9ric Auburtin
Romance Drama,monaco prince,0,Grace of Monaco,5.8,195,Nicole Kidman Milo Ventimiglia Paz Vega Tim Roth Parker Posey,Olivier Dahan
Fantasy Adventure Animation,village creature battle monkey hyena,0,Savva. Heart of the Warrior,6.4,7,Maksim Chukharyov Konstantin Khabenskiy Mikhail Galustyan Fyodor Bondarchuk Natalya Ionova,Maksim Fadeev
Crime Thriller,berlin male nudity villa milan hitman,0,Ripley's Game,6.6,69,John Malkovich Ray Winstone Uwe Mansshardt Hanns Zischler Paolo Paoloni,Liliana Cavani
Adventure Animation Comedy Fantasy,supermarket party sausage food anthropomorphism,140752617,Sausage Party,5.6,2238,Seth Rogen Kristen Wiig Jonah Hill Bill Hader Michael Cera,Conrad Vernon
Comedy Music,music sequel singer male female relationship audition,287506194,Pitch Perfect 2,6.8,1940,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,Elizabeth Banks
Drama Music Romance,germany prison music record adultery country music,186438883,Walk the Line,7.3,718,Joaquin Phoenix Reese Witherspoon Ginnifer Goodwin Robert Patrick Tyler Hilton,James Mangold
Comedy,love triangle rabbi priest catholicism,37036004,Keeping the Faith,5.9,159,Ben Stiller Edward Norton Jenna Elfman Anne Bancroft Eli Wallach,Edward Norton
Adventure Fantasy Action Comedy Family,dwarves household lawyer little people child's point of view,0,The Borrowers,5.8,135,John Goodman Jim Broadbent Celia Imrie Tom Felton Hugh Laurie,Peter Hewitt
Drama History,camera lie scandal watergate scandal richard nixon,0,Frost/Nixon,7.2,328,Michael Sheen Frank Langella Kevin Bacon Sam Rockwell Mark Simich,Ron Howard
Comedy Crime Drama Romance Thriller,microfilm biography silencer intrigue,33013805,Confessions of a Dangerous Mind,6.6,275,Sam Rockwell Drew Barrymore Julia Roberts Rutger Hauer Brad Pitt,George Clooney
Comedy Romance,wealth falling in love divorce pretty woman winery,16930185,Serving Sara,5,85,Matthew Perry Elizabeth Hurley Vincent Pastore Bruce Campbell Cedric the Entertainer,Reginald Hudlin
Comedy,business woman ex-con duringcreditsstinger girl scouts,78636257,The Boss,5.5,431,Melissa McCarthy Peter Dinklage Kristen Bell Kathy Bates Kristen Schaal,Ben Falcone
Drama,journalist 1970s male friendship south africa apartheid,0,Cry Freedom,6.9,51,Denzel Washington Kevin Kline Penelope Wilton Kate Hardie John Matshikiza,Richard Attenborough
Comedy Drama Romance,,0,Mumford,6.3,26,Loren Dean Hope Davis Jason Lee Alfre Woodard Zooey Deschanel,Lawrence Kasdan
Drama Horror Comedy,baby puppet filmdreh murder killer doll,24829644,Seed of Chucky,4.9,287,Brad Dourif Jennifer Tilly Billy Boyd Redman Hannah Spearritt,Don Mancini
Drama Mystery Thriller Fantasy,smoking medicine psychology hallucination human experimentation,21126225,The Jacket,6.8,455,Adrien Brody Keira Knightley Kris Kristofferson Jennifer Jason Leigh Kelly Lynch,John Maybury
Animation Family Comedy Adventure Fantasy,magic musical cartoon princess love,504050219,Aladdin,7.4,3416,Scott Weinger Robin Williams Linda Larkin Jonathan Freeman Frank Welker,Ron Clements
Drama Music,brother brother relationship aids police brutality rap music hip-hop,201634991,Straight Outta Compton,7.7,1355,O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge,F. Gary Gray
Adventure Action,riddle treasure heart skeleton treasure hunt,333000000,Indiana Jones and the Temple of Doom,7.1,2781,Harrison Ford Kate Capshaw Jonathan Ke Quan Amrish Puri Roshan Seth,Steven Spielberg
Animation Family,brother brother relationship baby home pregnancy and birth sequel,100491683,The Rugrats Movie,5.7,147,Whoopi Goldberg David Spade E.G. Daily Tara Strong Christine Cavanaugh,Norton Virgien
Crime Mystery Thriller Action,psychology police operation police psychologist,105178561,Along Came a Spider,6.1,400,Morgan Freeman Monica Potter Michael Wincott Dylan Baker Mika Boorem,Lee Tamahori
Comedy Drama,opera biography singing false,48902953,Florence Foster Jenkins,6.6,392,Meryl Streep Hugh Grant Rebecca Ferguson Simon Helberg Nina Arianda,Stephen Frears
Action,corruption cia,98185582,Once Upon a Time in Mexico,6.2,594,Antonio Banderas Salma Hayek Johnny Depp Eva Mendes Mickey Rourke,Robert Rodriguez
Action Thriller,helicopter journalist based on novel terrorist skyscraper,140767956,Die Hard,7.5,3948,Bruce Willis Alan Rickman Alexander Godunov Bonnie Bedelia Reginald VelJohnson,John McTiernan
Comedy,camping campsite big brother friends community service,92380927,Role Models,6.4,564,Seann William Scott Paul Rudd Elizabeth Banks Christopher Mintz-Plasse Bobb'e J. Thompson,David Wain
Comedy Drama,bank fraud biography wall street finances,133346506,The Big Short,7.3,2607,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Adam McKay
Music Comedy Drama,music festival independent film catskills dog tags,0,Taking Woodstock,6.2,127,Demetri Martin Imelda Staunton Henry Goodman Liev Schreiber Jonathan Groff,Ang Lee
Drama History,olympic games sport ice hockey milwaukee wisconsin st. paul minnesota,64445708,Miracle,7,159,Kurt Russell Patricia Clarkson Noah Emmerich Sean McCann Kenneth Welsh,Gavin O'Connor
Fantasy Horror Action,refugee mass murder habor car journey department store,102356381,Dawn of the Dead,6.8,1016,Sarah Polley Ving Rhames Jake Weber Mekhi Phifer Ty Burrell,Zack Snyder
Comedy,san francisco marriage proposal love of one's life wedding planer man of one's dreams,94728529,The Wedding Planner,5.5,427,Jennifer Lopez Matthew McConaughey Justin Chambers Joanna Gleason Lou Myers,Adam Shankman
Animation Science Fiction,,17137302,Space Pirate Captain Harlock,6.5,356,Shun Oguri Haruma Miura Yu Aoi Arata Furuta Ayano Fukuda,Shinji Aramaki
Comedy Drama,forgiveness child prodigy terminal illness dysfunctional family cigarette smoking,71441250,The Royal Tenenbaums,7.4,1286,Gene Hackman Anjelica Huston Ben Stiller Gwyneth Paltrow Luke Wilson,Wes Anderson
Mystery Thriller,weather multiple character scream convict psychopathy,90259536,Identity,7.1,1061,John Cusack Ray Liotta Amanda Peet John Hawkes Alfred Molina,James Mangold
Comedy,casino male friendship stag night las vegas elderly,134402450,Last Vegas,6.4,799,Robert De Niro Morgan Freeman Michael Douglas Kevin Kline Mary Steenburgen,Jon Turteltaub
Adventure Action Thriller,london england submarine england sea assassin,195312802,For Your Eyes Only,6.3,490,Roger Moore Carole Bouquet Chaim Topol Lynn-Holly Johnson Julian Glover,John Glen
Comedy Romance,soulmates new love book dollar fate,77516304,Serendipity,6.6,521,John Cusack Kate Beckinsale Jeremy Piven Bridget Moynahan Eugene Levy,Peter Chelsom
Thriller Science Fiction Action Crime,martial arts time travel science fiction alternative reality,101646581,Timecop,5.5,282,Jean-Claude Van Damme Mia Sara Ron Silver Bruce McGill Gloria Reuben,Peter Hyams
Comedy,male model time magazine fashion show fashion model fictional awards show,60780981,Zoolander,6.1,1337,Ben Stiller Owen Wilson Christine Taylor Will Ferrell Milla Jovovich,Ben Stiller
Romance,based on novel small town widower single father abusive husband,97594140,Safe Haven,6.9,823,Julianne Hough Josh Duhamel Cobie Smulders David Lyons Mike Pniewski,Lasse Hallstr\u00f6m
Comedy Family Fantasy,witch halloween salem trick or treating spellcasting,39514713,Hocus Pocus,6.4,471,Bette Midler Sarah Jessica Parker Kathy Najimy Omri Katz Thora Birch,Kenny Ortega
Comedy,italy competition loss of mother loss of sister new love,92601050,No Reservations,6.1,327,Catherine Zeta-Jones Aaron Eckhart Abigail Breslin Patricia Clarkson Jenny Wade,Scott Hicks
Action Crime,crime fighter secret identity comic book superhero murder,96188903,Kick-Ass,7.1,4645,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Nicolas Cage Mark Strong,Matthew Vaughn
Action Adventure Comedy,pizza delivery adventure pizza boy number in title comedy,40547440,30 Minutes or Less,5.6,531,Jesse Eisenberg Danny McBride Aziz Ansari Bianca Kajlich Nick Swardson,Ruben Fleischer
Thriller Horror,vampire dracula bite blood vlad,33000337,Dracula 2000,4.6,148,Gerard Butler Christopher Plummer Jonny Lee Miller Justine Waddell Jennifer Esposito,Patrick Lussier
Family Comedy,based on novel job interview bad luck wish one day,100654149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,493,Steve Carell Jennifer Garner Ed Oxenbould Dylan Minnette Kerris Dorsey,Miguel Arteta
Drama Romance,bachelor beautiful prejudice suitor period drama,121147947,Pride & Prejudice,7.7,1358,Keira Knightley Matthew Macfadyen Rosamund Pike Simon Woods Donald Sutherland,Joe Wright
Science Fiction Drama Thriller,artificial intelligence man vs machine cyborg bounty hunter android,33139618,Blade Runner,7.9,3509,Harrison Ford Rutger Hauer Sean Young Edward James Olmos M. Emmet Walsh,Ridley Scott
Adventure,scotland biography 18th century highlands violent man,31596911,Rob Roy,6.5,148,Liam Neeson Jessica Lange John Hurt Tim Roth Eric Stoltz,Michael Caton-Jones
Action Drama Thriller Crime,retirement secret service illegal drugs,52597999,3 Days to Kill,6,883,Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen T\u00f3mas Lemarquis,McG
Drama Crime Thriller,new york father son relationship nightclub gangster,54926886,We Own the Night,6.5,323,Joaquin Phoenix Eva Mendes Alex Veadov Mark Wahlberg Robert Duvall,James Gray
Horror Thriller,pedophilia daughter anti-christ incest,0,Lost Souls,4.5,38,Winona Ryder Ben Chaplin Sarah Wynter Philip Baker Hall John Hurt,Janusz Kami\u0144ski
Documentary,ocean lake bird horse parrot,20217080,Winged Migration,7,49,Philippe Labro Jacques Perrin,Jacques Perrin
Comedy Drama Family Fantasy Romance,jinx bad luck kiss romantic comedy alcohol abuse,38159905,Just My Luck,5.8,491,Lindsay Lohan Samaire Armstrong Chris Pine Missi Pyle Makenzie Vega Norfolk,Donald Petrie
Drama Comedy,sport ice hockey,8888143,"Mystery, Alaska",6,69,Russell Crowe Hank Azaria Mary McCormack Burt Reynolds Colm Meaney,Jay Roach
Action Comedy Family,duringcreditsstinger,45236543,The Spy Next Door,5.5,345,Amber Valletta Lucas Till Jackie Chan Billy Ray Cyrus George Lopez,Brian Levant
Adventure Comedy Family Fantasy,magic wish kids fairy godmother,8345056,A Simple Wish,5.5,46,Martin Short Kathleen Turner Mara Wilson Robert Pastorelli Deborah Odell,Michael Ritchie
Action Horror Science Fiction,climbing up a wall hung upside down flashback within a flashback cavern battering,14010832,Ghosts of Mars,4.8,296,Natasha Henstridge Ice Cube Jason Statham Clea DuVall Pam Grier,John Carpenter
Comedy Drama,bolivia woman political campaign south america year 2002,7002261,Our Brand Is Crisis,5.8,195,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,David Gordon Green
Romance Horror Comedy Thriller,based on novel dystopia shaolin prejudice zombie,16374328,Pride and Prejudice and Zombies,5.5,640,Lily James Sam Riley Jack Huston Bella Heathcote Douglas Booth,Burr Steers
Drama,buddhism china mountains buddhist monk tibet,5684789,Kundun,6.8,91,Tenzin Thuthob Tsarong Tencho Gyalpo Tsewang Migyur Khangsar Gyurme Tethong Robert Lin,Martin Scorsese
Comedy Romance Drama,failure starlet,17286299,How to Lose Friends & Alienate People,6.2,244,Kelan Pannell Janette Scott Simon Pegg Megan Fox Gillian Anderson,Robert B. Weide
Action Adventure Crime,crime fighter secret identity marvel comic superhero aftercreditsstinger,60700000,Kick-Ass 2,6.3,2224,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Clark Duke Jim Carrey,Jeff Wadlow
Action,,23321954,Alatriste,5.6,61,Viggo Mortensen Elena Anaya Unax Ugalde Eduard Fern\u00e1ndez Eduardo Noriega,Agust\u00edn D\u00edaz Yanes
Action Crime Drama,martial arts atomic bomb ghetto parkour cops,68896829,Brick Mansions,5.7,615,Paul Walker David Belle RZA Robert Maillet Carlo Rota,Camille Delamarre
Adventure Action Thriller,atomic bomb eastern block crocodile secret intelligence service kgb,187500000,Octopussy,6.2,527,Roger Moore Maud Adams Louis Jourdan Kristina Wayborn Kabir Bedi,John Glen
Comedy Romance Drama,alcohol one-night stand bed pregnancy and birth condom,219076518,Knocked Up,6.2,1214,Seth Rogen Katherine Heigl Leslie Mann Paul Rudd Jason Segel,Judd Apatow
Drama,parents kids relationship sister sister relationship court case in vitro fertilisation medical examiner,95714875,My Sister's Keeper,7.1,598,Cameron Diaz Alec Baldwin Abigail Breslin Joan Cusack Sofia Vassilieva,Nick Cassavetes
Comedy Drama,talk show,43650785,Welcome Home Roscoe Jenkins,5.7,57,Martin Lawrence James Earl Jones Margaret Avery Joy Bryant Cedric the Entertainer,Malcolm D. Lee
Drama Adventure History,doctor india english magistrate 1920s,27187653,A Passage to India,6.9,67,Judy Davis Alec Guinness Peggy Ashcroft James Fox Victor Banerjee,David Lean
Drama Romance,sex adultery based on novel cat infidelity,49469904,Notes on a Scandal,6.9,235,Judi Dench Cate Blanchett Bill Nighy Juno Temple Max Lewis,Richard Eyre
Drama Thriller,anti terror terror cia loss of son police brutality,24748670,Rendition,6.2,205,Omar Metwally Reese Witherspoon Jake Gyllenhaal Moa Khouas Zineb Oukach,Gavin Hood
Science Fiction Action Adventure Thriller,farewell federation starfleet peace conference uss enterprise-a,96900000,Star Trek VI: The Undiscovered Country,6.7,413,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
Comedy Drama Romance,secret society conciliation marriage mother daughter relationship playwright,0,Divine Secrets of the Ya-Ya Sisterhood,5.6,65,Sandra Bullock Ellen Burstyn Fionnula Flanagan James Garner Cherry Jones,Callie Khouri
Drama Mystery Thriller Crime,washington d.c. covered investigation investigation north carolina missing person,60527873,Kiss the Girls,6.2,345,Morgan Freeman Ashley Judd Cary Elwes Alex McArthur Tony Goldwyn,Gary Fleder
Music Comedy Action Crime,dancing prison chicago country music nun,115229890,The Blues Brothers,7.5,1065,Dan Aykroyd John Belushi James Brown Cab Calloway Ray Charles,John Landis
Adventure Comedy Drama Family,female friendship best friend summer vacation woman director young adult,44352417,The Sisterhood of the Traveling Pants 2,6,238,Alexis Bledel Amber Tamblyn America Ferrera Blake Lively Rachel Nichols,Sanaa Hamri
Comedy Music,,0,Joyful Noise,6.7,33,Queen Latifah Dolly Parton Keke Palmer Jeremy Jordan Courtney B. Vance,Todd Graff
Drama Comedy Romance,london england rock and roll single parent rap music bachelor,129000000,About a Boy,6.6,607,Hugh Grant Nicholas Hoult Toni Collette Rachel Weisz Sharon Small,Chris Weitz
Horror Comedy Action Science Fiction Thriller,diving sheriff lake crocodile deputy,56870414,Lake Placid,5.5,247,Bill Pullman Bridget Fonda Oliver Platt Brendan Gleeson Betty White,Steve Miner
Drama Thriller Crime Mystery,assassination assassin identity sniper mistake in person,56308881,Lucky Number Slevin,7.4,1323,Josh Hartnett Bruce Willis Lucy Liu Morgan Freeman Ben Kingsley,Paul McGuigan
Drama History,cold war pilot space travel politics historical figure,21500000,The Right Stuff,7.3,235,Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard,Philip Kaufman
Drama History Thriller,shakespeare anonymity poet play political,15395087,Anonymous,6.3,288,Jamie Campbell Bower Rhys Ifans David Thewlis Joely Richardson Vanessa Redgrave,Roland Emmerich
Drama Family Fantasy Adventure,based on novel fictional place wolf mythology magic,20158808,The NeverEnding Story,7,1002,Barret Oliver Gerald McRaney Noah Hathaway Drum Garrett Darryl Cooksey,Wolfgang Petersen
Mystery Science Fiction,soul sleep manipulation future dystopia,27200316,Dark City,7.2,828,Rufus Sewell William Hurt Kiefer Sutherland Jennifer Connelly Richard O'Brien,Alex Proyas
Drama History Romance,england adultery duke gambling debts marriage crisis,0,The Duchess,6.7,396,Keira Knightley Ralph Fiennes Aidan McArdle Simon McBurney Charlotte Rampling,Saul Dibb
Adventure Family Fantasy,wizard of oz,11137801,Return to Oz,6.7,120,Fairuza Balk Nicol Williamson Jean Marsh Piper Laurie Matt Clark,Walter Murch
Crime Action Drama,bank robber crime spree western u.s.,76000000,The Newton Boys,5.9,44,Matthew McConaughey Skeet Ulrich Ethan Hawke Vincent D'Onofrio Gail Cronauer,Richard Linklater
Horror Mystery Thriller,child abuse detective social worker supernatural murder,29000000,Case 39,6.1,563,Ren\u00e9e Zellweger Jodelle Ferland Ian McShane Kerry O'Malley Callum Keith Rennie,Christian Alvart
Crime Thriller,serial killer,13000000,Suspect Zero,5.5,98,Carrie-Anne Moss Aaron Eckhart Ben Kingsley Harry Lennix Kevin Chamberlin,E. Elias Merhige
Drama,underdog adoption education adoptive father childhood trauma,0,Martian Child,6.8,79,John Cusack Bobby Coleman Amanda Peet Joan Cusack Oliver Platt,Menno Meyjes
Family Comedy Action,spy child hero secret agent espionage,85564310,Spy Kids: All the Time in the World,4.4,222,Jessica Alba Mason Cook Rowan Blanchard Joel McHale Jeremy Piven,Robert Rodriguez
Thriller,bomb sniper tv show hostage drama police,93282604,Money Monster,6.5,1068,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,Jodie Foster
Thriller Action Comedy Crime,chemical laxative skinheads,14,The 51st State,5.9,173,Samuel L. Jackson Robert Carlyle Emily Mortimer Meat Loaf Rhys Ifans,Ronny Yu
Comedy Drama,independent film,4488529,Flawless,5.9,56,Robert De Niro Philip Seymour Hoffman Barry Miller Chris Bauer Skipp Sudduth,Joel Schumacher
Mystery Thriller Crime,fbi island serial killer series of murders,21148829,Mindhunters,6.3,333,LL Cool J Jonny Lee Miller Kathryn Morris Patricia Vel\u00e1squez Clifton Collins Jr,Renny Harlin
Comedy Drama,film producer midlife crisis independent film divorce,6673422,What Just Happened,5.2,127,Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci,Barry Levinson
Drama Thriller,,0,The Statement,5.9,23,Michael Caine Tilda Swinton Jeremy Northam Alan Bates Charlotte Rampling,Norman Jewison
Comedy Drama Music,fictional place opera musical,0,The Magic Flute,6.9,6,Joseph Kaiser Amy Carson Ren\u00e9 Pape Lyubov Petrova Benjamin Jay Davis,Kenneth Branagh
Action Adventure Comedy Family,security guard duringcreditsstinger,183293131,Paul Blart: Mall Cop,5.2,788,Kevin James Keir O'Donnell Jayma Mays Raini Rodriguez Shirley Knight,Steve Carr
Comedy,single parent brother sister relationship mistake in person bride talk show,110230332,Freaky Friday,6,879,Jamie Lee Curtis Lindsay Lohan Mark Harmon Harold Gould Haley Hudson,Mark Waters
Comedy Romance,first time virgin,109449237,The 40 Year Old Virgin,6.2,1983,Steve Carell Catherine Keener Paul Rudd Romany Malco Seth Rogen,Judd Apatow
Romance History,shakespeare love of one's life oscar award theatre play theatre group,289317794,Shakespeare in Love,6.8,796,Joseph Fiennes Gwyneth Paltrow Geoffrey Rush Tom Wilkinson Judi Dench,John Madden
Crime Drama Mystery Thriller,based on novel murder mafia private investigator new york city,53181600,A Walk Among the Tombstones,6.2,1131,Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson,Scott Frank
Comedy,crime fighter cook drug dealer dying and death kindergarten,201957688,Kindergarten Cop,5.8,628,Arnold Schwarzenegger Penelope Ann Miller Pamela Reed Linda Hunt Richard Tyson,Ivan Reitman
Action Comedy,smoking marijuana stoner roach lollipop,101624843,Pineapple Express,6.6,1148,Seth Rogen James Franco Danny McBride Gary Cole Rosie Perez,David Gordon Green
Drama Romance Comedy,france child abuse slavery leonardo da vinci prince,65705772,Ever After: A Cinderella Story,6.8,399,Drew Barrymore Dougray Scott Anjelica Huston Megan Dodds Melanie Lynskey,Andy Tennant
Western,horse beef ranger,68296293,Open Range,7,262,Kevin Costner Robert Duvall Michael Gambon Michael Jeter Diego Luna,Kevin Costner
Drama Horror Science Fiction Thriller,life and death afterlife swing memory medical student,61489265,Flatliners,6.3,404,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,Joel Schumacher
Drama History War,netherlands world war ii panzer british soldier,50750000,A Bridge Too Far,6.9,207,Dirk Bogarde James Caan Michael Caine Sean Connery Edward Fox,Richard Attenborough
Horror Thriller,hostage menace hitman airplane,57891803,Red Eye,6.2,455,Rachel McAdams Cillian Murphy Brian Cox Jayma Mays Jack Scalia,Wes Craven
Horror Mystery,ambulance premonition hospital,90426405,Final Destination 2,5.9,1023,Ali Larter A.J. Cook Michael Landes Tony Todd Keegan Connor Tracy,David R. Ellis
Action Adventure Comedy,prophecy southern usa music record country music mississippi,71868327,"O Brother, Where Art Thou?",7.3,1112,George Clooney John Turturro Tim Blake Nelson John Goodman Holly Hunter,Joel Coen
Horror,angel diner religion apocalypse demon,67918658,Legion,5.2,629,Paul Bettany Dennis Quaid Kevin Durand Kate Walsh Doug Jones,Scott Stewart
Thriller Crime Action,miami scam crime weight lifting weightlifting,86175291,Pain & Gain,6.1,1573,Mark Wahlberg Dwayne Johnson Anthony Mackie Tony Shalhoub Ed Harris,Michael Bay
Comedy Drama Romance,midlife crisis daughter bad boss,0,In Good Company,5.9,194,Topher Grace Scarlett Johansson Dennis Quaid Marg Helgenberger David Paymer,Paul Weitz
Adventure Family Science Fiction Thriller,time airplane youth wristwatch,38793283,Clockstoppers,4.9,89,Jesse Bradford Paula Garc\u00e9s Robin Thomas French Stewart Michael Biehn,Jonathan Frakes
Action Crime Drama Western,sheriff fight horse male friendship two guns belt,0,Silverado,7.1,146,Kevin Kline Scott Glenn Kevin Costner Danny Glover Brian Dennehy,Lawrence Kasdan
Drama Thriller War,brother brother relationship brother-in-law loss of husband war in afghanistan sister-in-law,43318349,Brothers,6.8,633,Tobey Maguire Jake Gyllenhaal Natalie Portman Sam Shepard Mare Winningham,Jim Sheridan
Comedy,london england cia teenage hero teen spy cia agent,28818995,Agent Cody Banks 2: Destination London,5.2,144,Frankie Muniz Anthony Anderson Hannah Spearritt Alfie Allen Cynthia Stevenson,Kevin Allen
Comedy Romance,new year's eve illustrator caterer pedicab ticket,142044638,New Year's Eve,5.7,718,Robert De Niro Katherine Heigl Ashton Kutcher Carla Gugino Lea Michele,Garry Marshall
Drama Thriller Mystery Romance,women sex cuba eroticism lover (female),35402320,Original Sin,5.8,198,Angelina Jolie Antonio Banderas Gregory Itzin Jack Thompson Allison Mackie,Michael Cristofer
Crime Thriller Mystery,poison blackmail masked ball historical figure buried alive,29657751,The Raven,6.1,426,John Cusack Luke Evans Alice Eve Brendan Gleeson Kevin McNally,James McTeigue
Comedy,,14000000,Welcome to Mooseport,4.8,54,Ray Romano Gene Hackman Marcia Gay Harden Maura Tierney June Squibb,Donald Petrie
Action Fantasy Science Fiction,japan new york scotland morocco good and bad,36800000,Highlander: The Final Dimension,4.5,110,Christopher Lambert Mario Van Peebles Deborah Kara Unger Mako Martin Neufeld,Andrew Morahan
Crime Drama Thriller,robbery gun fight love murder,0,Blood and Wine,5.5,34,Jack Nicholson Stephen Dorff Jennifer Lopez Judy Davis Michael Caine,Bob Rafelson
Fantasy Horror,jealousy toxication castle step mother fairy-tale figure,0,Snow White: A Tale of Terror,6,62,Sigourney Weaver Sam Neill Monica Keena Gil Bellows Brian Glover,Michael Cohn
Comedy Crime Mystery Romance Thriller,hypnosis independent film,0,The Curse of the Jade Scorpion,6.5,165,Dan Aykroyd Helen Hunt Woody Allen Charlize Theron David Ogden Stiers,Woody Allen
Romance Comedy,one-night stand romantic comedy accidental love,0,Accidental Love,3.9,95,Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens,David O. Russell
Adventure Family,dolphin florida florida keys summer,20080020,Flipper,5.3,84,Elijah Wood Paul Hogan Jonathan Banks Jason Fuchs Robert Deacon,Alan Shapiro
Science Fiction Mystery Thriller,lie immortality terminal illness laboratory cancer,30523226,Self/less,6.3,1091,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Tarsem Singh
Drama Mystery Thriller,aids diplomat nairobi politician pharmaceutical industry,82466670,The Constant Gardener,6.8,417,Ralph Fiennes Rachel Weisz Danny Huston Bill Nighy Donald Sumpter,Fernando Meirelles
Drama,christianity jewry roman empire jesus christ suffering,611899420,The Passion of the Christ,6.9,864,Jim Caviezel Maia Morgenstern Monica Bellucci Rosalinda Celentano Sergio Rubini,Mel Gibson
Comedy Drama Family,san francisco parents kids relationship restaurant nanny mask,441286195,Mrs. Doubtfire,7,1591,Robin Williams Sally Field Pierce Brosnan Harvey Fierstein Polly Holliday,Chris Columbus
Drama,individual mentally disabled autism loss of father yuppie,412800000,Rain Man,7.6,1709,Dustin Hoffman Tom Cruise Valeria Golino Gerald R. Molen Jack Murdock,Barry Levinson
Drama,rape war veteran immigration priest gang,269958228,Gran Torino,7.8,3086,Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian Haley,Clint Eastwood
Drama History,usa white house usa president george w. bush president,29506464,W.,6.1,143,Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie Newton,Oliver Stone
Action Thriller,paris kidnapping human trafficking rescue prostitution,226830568,Taken,7.2,4369,Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly Valance,Pierre Morel
Drama Romance,high school sweetheart,35926213,The Best of Me,7.2,765,Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney,Michael Hoffman
Thriller Action Drama Music Romance,sister sister relationship anonymous letter diva bodyguard oscar award,411006740,The Bodyguard,6.1,661,Whitney Houston Kevin Costner Michele Lamar Richards Ralph Waite Gary Kemp,Mick Jackson
Drama History War,factory concentration camp hero holocaust world war ii,321365567,Schindler's List,8.3,4329,Liam Neeson Ben Kingsley Ralph Fiennes Caroline Goodall Jonathan Sagall,Steven Spielberg
Drama,mississippi based on novel exploitation racial segregation racism,124272124,The Help,7.8,1910,Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica Chastain,Tate Taylor
Drama Thriller,journalist biography internet information leak activist,8555008,The Fifth Estate,5.7,364,Benedict Cumberbatch Daniel Br\u00fchl Anthony Mackie David Thewlis Alicia Vikander,Bill Condon
Mystery Fantasy Adventure Comedy,detective monster engine based on tv series dog,181466833,Scooby-Doo 2: Monsters Unleashed,5.4,500,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth Green,Raja Gosnell
Thriller Adventure Mystery Fantasy,monster mystic church demon witchcraft,0,Forbidden Kingdom,4.9,71,Jason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga Zaytseva,Oleg Stepchenko
Horror,murder marijuana teenager bad dream,114908830,Freddy vs. Jason,5.8,594,Robert Englund Ken Kirzinger Jason Ritter Monica Keena Lochlyn Munro,Ronny Yu
